data,n1,n2,n3,n4,n5,n6,montepremi_eur,num_vincite,regione
1999-05-03,8,49,50,65,66,69,14527109,1,Umbria
1999-04-03,33,41,47,48,60,80,12805407,1,Toscana
1999-03-13,6,18,20,34,72,90,27026864,1,Sicilia
1999-02-06,9,10,26,30,44,54,44254816,1,Puglia
1998-12-23,3,9,14,26,47,79,11417386,2,Emilia-Romagna
1998-11-25,32,39,52,56,69,85,12366835,1,Emilia-Romagna
1998-11-07,15,19,25,33,40,68,5054080,1,Piemonte
1998-10-31,1,21,30,61,73,84,32706046,1,Puglia
1998-09-19,3,33,45,57,78,80,9218963,1,Lazio
1998-07-11,15,16,17,57,60,63,1258976,1,Veneto
1998-06-06,13,18,22,56,67,72,4537722,1,Veneto
1998-05-23,7,12,24,37,58,81,3576577,1,Piemonte
1998-04-18,17,38,47,56,76,85,6187103,1,Lazio
1998-02-21,4,19,47,60,73,84,4151721,1,Lazio
1998-01-17,29,37,49,51,55,74,6097819,1,Lombardia
